2024-10-24 19:20:01,459 - u1h1 - INFO - Log location : /home/casomoon/DSL_Exercises/logs/u1h1.log
2024-10-24 19:20:31,566 - u1h1 - INFO - Epoch [50/200] - Loss: 0.2964, Accuracy: 85.50%
2024-10-24 19:20:32,040 - u1h1 - INFO - Epoch [51/200] - Loss: 0.2925, Accuracy: 85.76%
2024-10-24 19:20:32,512 - u1h1 - INFO - Epoch [52/200] - Loss: 0.2886, Accuracy: 86.04%
2024-10-24 19:20:33,020 - u1h1 - INFO - Epoch [53/200] - Loss: 0.2850, Accuracy: 86.17%
2024-10-24 19:20:33,537 - u1h1 - INFO - Epoch [54/200] - Loss: 0.2815, Accuracy: 86.36%
2024-10-24 19:20:34,007 - u1h1 - INFO - Epoch [55/200] - Loss: 0.2780, Accuracy: 86.57%
2024-10-24 19:20:34,469 - u1h1 - INFO - Epoch [56/200] - Loss: 0.2745, Accuracy: 86.89%
2024-10-24 19:20:34,934 - u1h1 - INFO - Epoch [57/200] - Loss: 0.2713, Accuracy: 87.06%
2024-10-24 19:20:35,414 - u1h1 - INFO - Epoch [58/200] - Loss: 0.2682, Accuracy: 87.18%
2024-10-24 19:20:35,923 - u1h1 - INFO - Epoch [59/200] - Loss: 0.2650, Accuracy: 87.50%
2024-10-24 19:20:36,414 - u1h1 - INFO - Epoch [60/200] - Loss: 0.2621, Accuracy: 87.44%
2024-10-24 19:20:36,891 - u1h1 - INFO - Epoch [61/200] - Loss: 0.2591, Accuracy: 87.65%
2024-10-24 19:20:37,359 - u1h1 - INFO - Epoch [62/200] - Loss: 0.2562, Accuracy: 87.83%
2024-10-24 19:20:37,848 - u1h1 - INFO - Epoch [63/200] - Loss: 0.2534, Accuracy: 88.10%
2024-10-24 19:20:38,349 - u1h1 - INFO - Epoch [64/200] - Loss: 0.2506, Accuracy: 88.17%
2024-10-24 19:20:38,840 - u1h1 - INFO - Epoch [65/200] - Loss: 0.2480, Accuracy: 88.38%
2024-10-24 19:20:39,314 - u1h1 - INFO - Epoch [66/200] - Loss: 0.2453, Accuracy: 88.49%
2024-10-24 19:20:39,800 - u1h1 - INFO - Epoch [67/200] - Loss: 0.2426, Accuracy: 88.65%
2024-10-24 19:20:40,273 - u1h1 - INFO - Epoch [68/200] - Loss: 0.2402, Accuracy: 88.84%
2024-10-24 19:20:40,778 - u1h1 - INFO - Epoch [69/200] - Loss: 0.2376, Accuracy: 89.06%
2024-10-24 19:20:41,262 - u1h1 - INFO - Epoch [70/200] - Loss: 0.2351, Accuracy: 89.19%
2024-10-24 19:20:41,727 - u1h1 - INFO - Epoch [71/200] - Loss: 0.2327, Accuracy: 89.33%
2024-10-24 19:20:42,216 - u1h1 - INFO - Epoch [72/200] - Loss: 0.2304, Accuracy: 89.28%
2024-10-24 19:20:42,684 - u1h1 - INFO - Epoch [73/200] - Loss: 0.2280, Accuracy: 89.55%
